Vivado Simulator 2018.3
Time resolution is 1 ps
Time=0: PC=00000000, Inst=xxxxxxxx
Time=5000: PC=00000000, Inst=00000000
Time=20000: PC=00000004, Inst=00000000
Time=25000: PC=00000004, Inst=00432020
Time=30000: PC=00000008, Inst=00432020
Time=35000: PC=00000008, Inst=8c440004
Time=40000: PC=0000000c, Inst=8c440004
Time=45000: PC=0000000c, Inst=ac450008
Time=50000: PC=00000010, Inst=ac450008
Time=55000: PC=00000010, Inst=00831022
Time=60000: PC=00000014, Inst=00831022
Time=65000: PC=00000014, Inst=00831025
Time=70000: PC=00000018, Inst=00831025
Time=75000: PC=00000018, Inst=00831024
Time=80000: PC=0000001c, Inst=00831024
Time=85000: PC=0000001c, Inst=0083102a
Time=90000: PC=00000020, Inst=0083102a
Time=95000: PC=00000020, Inst=10630001
Time=100000: PC=00000028, Inst=10630001
Time=105000: PC=00000028, Inst=10640001
Time=110000: PC=00000030, Inst=10640001
Time=115000: PC=00000030, Inst=08000000
Time=120000: PC=00000000, Inst=08000000
Time=125000: PC=00000000, Inst=00000000
Time=130000: PC=00000004, Inst=00000000
Time=135000: PC=00000004, Inst=00432020
Time=140000: PC=00000008, Inst=00432020
Time=145000: PC=00000008, Inst=8c440004
Time=150000: PC=0000000c, Inst=8c440004
Time=155000: PC=0000000c, Inst=ac450008
Time=160000: PC=00000010, Inst=ac450008
Time=165000: PC=00000010, Inst=00831022
Time=170000: PC=00000014, Inst=00831022
Time=175000: PC=00000014, Inst=00831025
Time=180000: PC=00000018, Inst=00831025
Time=185000: PC=00000018, Inst=00831024
Time=190000: PC=0000001c, Inst=00831024
Time=195000: PC=0000001c, Inst=0083102a
Time=200000: PC=00000020, Inst=0083102a
Time=205000: PC=00000020, Inst=10630001
Time=210000: PC=00000028, Inst=10630001
Time=215000: PC=00000028, Inst=10640001
Time=220000: PC=00000030, Inst=10640001
Time=225000: PC=00000030, Inst=08000000
Time=230000: PC=00000000, Inst=08000000
Time=235000: PC=00000000, Inst=00000000
Time=240000: PC=00000004, Inst=00000000
Time=245000: PC=00000004, Inst=00432020
Time=250000: PC=00000008, Inst=00432020
Time=255000: PC=00000008, Inst=8c440004
Time=260000: PC=0000000c, Inst=8c440004
Time=265000: PC=0000000c, Inst=ac450008
Time=270000: PC=00000010, Inst=ac450008
Time=275000: PC=00000010, Inst=00831022
Time=280000: PC=00000014, Inst=00831022
Time=285000: PC=00000014, Inst=00831025
Time=290000: PC=00000018, Inst=00831025
Time=295000: PC=00000018, Inst=00831024
Time=300000: PC=0000001c, Inst=00831024
Time=305000: PC=0000001c, Inst=0083102a
Time=310000: PC=00000020, Inst=0083102a
Time=315000: PC=00000020, Inst=10630001
Time=320000: PC=00000028, Inst=10630001
Time=325000: PC=00000028, Inst=10640001
Time=330000: PC=00000030, Inst=10640001
Time=335000: PC=00000030, Inst=08000000
Time=340000: PC=00000000, Inst=08000000
Time=345000: PC=00000000, Inst=00000000
Time=350000: PC=00000004, Inst=00000000
Time=355000: PC=00000004, Inst=00432020
Time=360000: PC=00000008, Inst=00432020
Time=365000: PC=00000008, Inst=8c440004
Time=370000: PC=0000000c, Inst=8c440004
Time=375000: PC=0000000c, Inst=ac450008
Time=380000: PC=00000010, Inst=ac450008
Time=385000: PC=00000010, Inst=00831022
Time=390000: PC=00000014, Inst=00831022
Time=395000: PC=00000014, Inst=00831025
Time=400000: PC=00000018, Inst=00831025
Time=405000: PC=00000018, Inst=00831024
Time=410000: PC=0000001c, Inst=00831024
Time=415000: PC=0000001c, Inst=0083102a
Time=420000: PC=00000020, Inst=0083102a
Time=425000: PC=00000020, Inst=10630001
Time=430000: PC=00000028, Inst=10630001
Time=435000: PC=00000028, Inst=10640001
Time=440000: PC=00000030, Inst=10640001
Time=445000: PC=00000030, Inst=08000000
Time=450000: PC=00000000, Inst=08000000
Time=455000: PC=00000000, Inst=00000000
Time=460000: PC=00000004, Inst=00000000
Time=465000: PC=00000004, Inst=00432020
Time=470000: PC=00000008, Inst=00432020
Time=475000: PC=00000008, Inst=8c440004
Time=480000: PC=0000000c, Inst=8c440004
Time=485000: PC=0000000c, Inst=ac450008
Time=490000: PC=00000010, Inst=ac450008
Time=495000: PC=00000010, Inst=00831022
Time=500000: PC=00000014, Inst=00831022
Time=505000: PC=00000014, Inst=00831025
Time=510000: PC=00000018, Inst=00831025
Time=515000: PC=00000018, Inst=
